ApartmentId|BuildingId|ApartmentNumber
4001|3001|A
4002|3001|B
4003|3001|C
4004|3002|1
4005|3002|2
4006|3002|3
4007|3011|3A
4008|3011|3F
4009|3012|A
4010|3014|141
4011|3017|8H
4012|3020|2A
4013|3021|4E
4014|3025|424
4015|3029|H
4016|3030|9D
4017|3030|C
4018|3031|F
4019|3036|8A
4020|3037|H
4021|3038|324
4022|3040|4H
4023|3040|6B
4024|3040|B
4025|3040|G
4026|3044|8F
4027|3045|2A
4028|3045|F
4029|3046|E
4030|3047|3E
4031|3048|5C
4032|3048|F
4033|3049|8G
4034|3051|C
4035|3055|9E
4036|3056|8C
4037|3057|6B
4038|3058|187
4039|3058|C
4040|3061|F
4041|3063|5F
4042|3067|D
4043|3068|4E
4044|3074|9E
4045|3075|2A
4046|3077|5F
4047|3084|C
4048|3087|191
4049|3087|5G
4050|3087|C
4051|3088|C
4052|3088|G
4053|3089|5H
4054|3090|181
4055|3104|5B
4056|3105|9H
4057|3105|C
4058|3106|2B
4059|3106|C
4060|3107|1B
4061|3110|H
4062|3111|H
4063|3114|D
4064|3115|8F
4065|3116|185
4066|3119|213
4067|3119|8D
4068|3122|175
4069|3126|9B
4070|3127|B
4071|3130|E
4072|3136|288
4073|3137|8A
4074|3138|5B
4075|3139|209
4076|3141|B
4077|3143|6F
4078|3144|478
4079|3145|309
4080|3149|336
4081|3151|A
4082|3154|C
4083|3155|4F
4084|3155|D
4085|3156|8B
4086|3157|389
4087|3160|309
4088|3160|G
4089|3161|2G
4090|3166|B
4091|3166|G
4092|3167|G
4093|3169|345
4094|3169|H
4095|3171|4B
4096|3178|6C
4097|3178|B
4098|3181|B
4099|3190|B
4100|3192|128
4101|3194|4C
4102|3198|326
4103|3199|7F
4104|3200|E
