BuildingId|StreetId|BuildingNumber
3001|2001|45
3002|2001|120
3003|2001|11
3004|2001|22
3005|2001|68
3006|2001|104A
3007|2002|54
3008|2008|51D
3009|2016|63
3010|2015|18
3011|2004|36
3012|2005|77
3013|2016|93
3014|2016|14
3015|2019|89
3016|2008|58
3017|2026|4G
3018|2019|94
3019|2023|16
3020|2026|89
3021|2003|24
3022|2010|80
3023|2023|93
3024|2027|91
3025|2010|67
3026|2012|64
3027|2020|49
3028|2006|82
3029|2008|6
3030|2020|99
3031|2012|6
3032|2009|19
3033|2027|78C
3034|2009|67
3035|2027|30
3036|2017|10
3037|2029|62
3038|2009|62
3039|2015|52
3040|2029|8
3041|2019|88
3042|2028|91
3043|2018|79
3044|2028|8
3045|2022|63
3046|2010|31
3047|2028|59
3048|2021|1
3049|2006|75
3050|2028|46I
3051|2007|46
3052|2022|92
3053|2007|69
3054|2023|8
3055|2020|24
3056|2009|53
3057|2016|98
3058|2006|36
3059|2008|44
3060|2013|99
3061|2023|42
3062|2016|2
3063|2017|67
3064|2028|58
3065|2015|79
3066|2015|61
3067|2014|58
3068|2018|86
3069|2015|54
3070|2006|13
3071|2002|72
3072|2011|50
3073|2024|88
3074|2030|45
3075|2019|49
3076|2022|75K
3077|2024|33
3078|2024|21
3079|2023|3
3080|2029|21
3081|2030|71C
3082|2025|67
3083|2004|3
3084|2030|5B
3085|2020|11
3086|2029|31J
3087|2017|71
3088|2013|65K
3089|2008|48
3090|2027|88
3091|2004|74
3092|2021|99
3093|2025|57
3094|2005|4K
3095|2020|42
3096|2016|70
3097|2003|14
3098|2027|77
3099|2005|89
3100|2025|45
3101|2014|87
3102|2017|14
3103|2024|26J
3104|2021|76
3105|2002|28
3106|2024|51
3107|2010|84
3108|2003|19
3109|2026|9
3110|2016|44C
3111|2017|43
3112|2020|96
3113|2008|75F
3114|2013|20
3115|2004|18
3116|2025|37
3117|2024|13
3118|2030|72
3119|2007|44
3120|2013|88A
3121|2005|6
3122|2010|60D
3123|2020|12
3124|2011|93
3125|2021|57
3126|2018|82
3127|2011|47
3128|2003|10
3129|2002|62
3130|2014|31
3131|2010|36
3132|2022|49
3133|2012|55
3134|2007|56
3135|2002|93
3136|2026|74
3137|2029|43
3138|2002|68
3139|2030|60
3140|2028|35
3141|2026|35
3142|2011|2
3143|2015|10
3144|2007|4
3145|2021|20
3146|2004|51
3147|2009|58
3148|2027|33
3149|2030|86
3150|2011|14
3151|2015|12
3152|2006|35
3153|2012|17
3154|2024|29
3155|2011|75
3156|2014|67
3157|2025|30
3158|2016|33
3159|2003|84
3160|2017|22
3161|2005|26
3162|2018|50
3163|2023|55
3164|2018|45
3165|2022|72
3166|2030|89
3167|2022|90
3168|2009|74F
3169|2013|2
3170|2013|43
3171|2018|27
3172|2013|26
3173|2028|49
3174|2019|66
3175|2025|90
3176|2019|55
3177|2027|74
3178|2011|94
3179|2004|8
3180|2029|97
3181|2023|65
3182|2010|90H
3183|2008|57
3184|2008|29J
3185|2012|44
3186|2020|5J
3187|2015|78
3188|2009|34
3189|2018|66
3190|2004|49
3191|2002|34
3192|2030|55
3193|2017|17
3194|2006|29
3195|2004|33I
3196|2022|24
3197|2025|31
3198|2002|79
3199|2014|63K
3200|2003|77
3201|2021|33
3202|2017|66
3203|2029|58
3204|2028|50
3205|2006|81
3206|2011|35
3207|2003|58
3208|2007|79
3209|2010|51
3210|2012|80
3211|2005|58
3212|2021|37
3213|2013|93
3214|2014|51
3215|2027|57
3216|2012|48
3217|2024|69
3218|2019|8
3219|2014|83
3220|2019|79
3221|2021|35
3222|2005|57
3223|2026|96
3224|2007|88F
3225|2018|80
3226|2007|55D
3227|2025|78A
3228|2026|58
3229|2014|95
3230|2029|21B
3231|2009|2
3232|2022|34
3233|2005|61
