StreetId|CityId|StreetName|PostalCode
2001|1001|Main St|98155
2002|1002|B St|98048
2003|1003|C St|02134
2004|1004|1st St|02848
2005|1005|2nd Ave|92611
2006|1006|3rd Place|92688
2007|1007|Apple Way|94114
2008|1008|Banana St|92134
2009|1009|Carpet Dr|99202
2010|1001|Walton St|98156
2011|1002|Zion Rd|98049
2012|1003|Eastwood Cres|02135
2013|1004|Maclean Rd|02849
2014|1005|Eastridge Rd|92612
2015|1006|Highland Dr|92689
2016|1007|18 Mile Line|94115
2017|1008|Isabella St|92135
2018|1009|Albert St|99203
2019|1001|Mcgivern St|98156
2020|1002|Marl Lakes Rd|98049
2021|1003|Park St|02135
2022|1004|Chester St|02849
2023|1005|Klippert St|92612
2024|1006|Maskinonge Bay Rd|92689
2025|1007|A St|94115
2026|1008|B St|92135
2027|1009|C St|99203
2028|1001|1st St|98156
2029|1002|2nd Ave|98049
2030|1003|3rd Place|02135
